date,location_key,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,new_deceased_male,new_deceased_female,cumulative_deceased_male,cumulative_deceased_female,new_recovered_male,new_recovered_female,cumulative_recovered_male,cumulative_recovered_female,new_tested_male,new_tested_female,cumulative_tested_male,cumulative_tested_female,new_hospitalized_patients_male,new_hospitalized_patients_female,cumulative_hospitalized_patients_male,cumulative_hospitalized_patients_female,new_intensive_care_patients_male,new_intensive_care_patients_female,cumulative_intensive_care_patients_male,cumulative_intensive_care_patients_female,new_ventilator_patients_male,new_ventilator_patients_female,cumulative_ventilator_patients_male,cumulative_ventilator_patients_female
2022-06-04,AR,708,976,4418875,4780155,1,0,72801,53930,,,,,1987,2721,13178651,14928482,5,3,248464,222232,0,1,48424,33211,,,,
2022-09-09,BR,,,,,0,0,208279,167525,,,,,,,,,0,1,671079,533600,,0,218633,165500,,,,
2022-01-23,CO,35,56,2697358,3042821,9,12,93611,62159,10676,14789,2542476,2898545,,,,,,,,,,,,,,,,
2022-09-15,CZ,1153,1342,1958145,2112768,2,3,23154,17789,1476,1742,1926516,2084215,,,,,,,,,,,,,,,,
2022-02-14,DE,48574,53186,6092181,6356325,6,4,64006,56007,38,56,4370388,4550358,,,,,,,,,,,,,,,,
2022-09-12,EE,101,126,272596,326685,,,,,,,,,676,945,1595674,1890648,,,,,,,,,,,,
2022-03-27,ES,2851,3867,5446262,6122041,25,13,57026,45897,,,,,,,,,142,143,281585,232144,12,3,33538,15691,,,,
2022-06-12,FI,0,0,526878,587693,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-06,HK,165,,7417,,0,,127,,,,,,,,,,24,,6708,,,,,,,,,
2021-10-31,IN,4,10,92449,51846,0,0,30,13,,,,,,,,,0,0,3431,1712,,,,,,,,
2022-09-14,MX,363,268,1697190,1281374,0,0,9579,14406,,,,,,,,,5,9,40300,43778,,,,,,,,
2022-09-13,MY,,,,,0,2,20855,15444,,,,,,,,,,,,,,,,,,,,
2022-03-16,NZ,9194,10413,209810,228116,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-04,PE,4367,4978,1663884,1683077,84,64,131417,75472,,,,,,,,,,,,,,,,,,,,
2021-09-01,PH,9,15,1022387,981568,0,0,18934,14427,0,0,206019,202967,,,,,1,1,41187,40834,,,,,,,,
2021-08-11,TH,9058,10345,375073,388910,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-14,TW,20472,24961,2754309,3091031,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-05,US,,1,35432377,41162212,,,,,,,,,,,,,,,,,,,,,,,,
