location_key,gdp_per_capita_usd
AD,40886
AE,43103
AF,502
AG,17790
AL,5352
AM,4622
AO,2973
AR,10006
AS,11466
AT,51448
AT_1,36226
AT_2,43896
AT_3,43070
AT_4,52628
AT_5,61832
AT_6,47200
AT_7,54398
AT_8,57230
AT_9,60180
AU,54907
AU_SA,65676
AW,29007
AZ,4793
BA,6073
BB,18148
BD,1855
BE,47436
BE_BRU,81892
BE_VAN,55932
BE_VLG,51448
BE_VLI,38704
BE_VOV,44014
BE_VWV,46374
BE_WBR,56522
BE_WHT,30090
BE_WLG,33630
BE_WLX,29146
BE_WNA,31978
BF,774
BG,9440
BH,23503
BI,261
BJ,1219
BN,31086
BO,3552
BR,8717
BR_MG_313870,16610
BR_SP_350400,2490617
BS,32933
BT,3243
BW,7961
BY,6663
BZ,4815
CA,46194
CA_AB,
CA_MB,
CA_NB,
CA_NL,
CA_NS,
CA_NT,
CA_NU,
CA_ON,
CA_QC,
CA_SK,
CA_YT,
CD,545
CF,467
CG,2011
CH,81993
CI,2286
CL,14896
CM,1497
CN,10261
CN_AH,
CN_BJ,
CN_FJ,
CN_GD,
CN_GS,
CN_GX,
CN_HA,
CN_HE,
CN_HI,
CN_HL,
CN_HN,
CN_JL,
CN_JS,
CN_JX,
CN_LN,
CN_NM,
CN_NX,
CN_QH,
CN_SC,
CN_SD,
CN_SH,
CN_SN,
CN_SX,
CN_TJ,
CN_XJ,
CN_XZ,
CN_YN,
CN_ZJ,
CO,6432
CR,12238
CU,8821
CV,3603
CW,19573
CY,28674
CZ,23010
CZ_10,48616
CZ_20,20886
CZ_31,19824
CZ_32,19824
CZ_41,16048
CZ_42,16048
CZ_51,19234
CZ_52,19234
CZ_53,19234
CZ_63,21240
CZ_64,21240
CZ_71,18762
CZ_72,18762
CZ_80,19234
DE,47554
DE_BB,34338
DE_BE,47318
DE_BW,53926
DE_BY,55814
DE_HB,58292
DE_HE,54516
DE_HH,76464
DE_MV,32568
DE_NI,43306
DE_NW,45902
DE_RP,42480
DE_SH,39058
DE_SL,42126
DE_SN,35990
DE_ST,33394
DE_TH,34574
DJ,3408
DK,61360
DM,8300
DO,8282
DZ,3948
EC,6183
EE,23246
EG,3020
ES,30326
ES_AN,22538
ES_AS,26904
ES_CB,28084
ES_CE,23718
ES_CL,28320
ES_CM,24072
ES_CN,24662
ES_CT,35872
ES_CT_17022,16100
ES_CT_17117,15100
ES_EX,22184
ES_GA,27376
ES_IB,32686
ES_MC,25134
ES_MD,41300
ES_ML,21830
ES_NC,37052
ES_PV,39176
ES_RI,32096
ES_VC,26432
ET,857
FI,50150
FJ,6220
FM,3568
FO,58622
FR,41300
FR_IDF,70446
GA,7667
GB,43070
GB_ENG_E08000003,37878
GB_ENG_E10000006,35872
GB_ENG_E10000016,34456
GB_ENG_E10000017,34102
GB_ENG_E10000019,29736
GB_ENG_LON,75756
GB_NIR,33630
GB_SCT,39176
GB_UKC,30798
GB_UKD,37642
GB_UKE,33748
GB_UKF,33984
GB_UKG,35872
GB_UKH,39766
GB_UKI,75756
GB_UKJ,45430
GB_UKK,37288
GB_WLS,31034
GD,10965
GE,4769
GH,2202
GL,54470
GM,751
GN,1064
GQ,8131
GR,20296
GT,4619
GU,35712
GW,697
GY,5468
HK,48755
HN,2574
HR,14868
HT,754
HU,16166
ID,4135
IE,78706
IL,43641
IM,80989
IN,2104
IQ,5955
IR,5520
IS,66944
IT,34456
IT_21,37052
IT_23,45902
IT_25,45548
IT_34,39294
IT_36,36934
IT_42,37878
IT_45,42716
IT_52,37170
IT_55,30090
IT_57,33394
IT_62,39648
IT_65,30444
IT_67,24780
IT_72,21830
IT_75,22420
IT_77,26314
IT_78,20178
IT_82,21004
IT_88,25016
IT_BZ,55342
IT_TN,44722
JM,5582
JO,4330
JP,40246
KE,1816
KG,1309
KH,1643
KI,1655
KM,1393
KN,19896
KR,31761
KW,32031
KY,85477
KZ,9731
LA,2534
LB,7784
LC,11611
LI,173356
LK,3853
LR,621
LS,1157
LT,19116
LU,116348
LV,17818
LY,7683
MA,3204
MC,185829
MD,4498
ME,8832
MG,522
MH,3788
MK,6093
ML,890
MM,1407
MN,4295
MO,84096
MP,23258
MR,1677
MT,30090
MU,11203
MV,10790
MW,411
MX,9863
MY,11414
MZ,491
NA,4957
NE,554
NG,2229
NI,1912
NL,52982
NL_DR,36226
NL_FL,39884
NL_FR,36226
NL_GE,44722
NL_GR,50504
NL_LI,46964
NL_NB,54044
NL_NH,69266
NL_OV,44250
NL_UT,64900
NL_ZE,41890
NL_ZH,52274
NO,75419
NP,1071
NR,9396
NZ,42084
OM,15474
PA,15731
PE,6977
PG,2845
PH,3485
PK,1284
PL,15222
PL_02,16756
PL_04,12390
PL_08,12508
PL_12,14042
PL_16,12154
PL_22,14868
PL_24,15812
PL_28,10502
PL_30,16402
PL_32,12626
PR,32873
PS,3198
PT,23364
PT_11,19942
PT_15,25960
PT_16,20296
PT_17,30444
PT_18,21830
PT_20,20650
PT_30,22656
PW,15859
PY,5414
QA,64781
RO,12390
RS,7402
RU,11584
RW,801
SA,23139
SB,2127
SC,17401
SD,441
SE,54634
SE_110,73868
SE_121,47554
SE_122,47554
SE_123,47554
SE_124,47554
SE_125,47554
SE_211,47790
SE_212,47790
SE_213,47790
SE_214,47790
SE_221,46492
SE_224,46492
SE_231,53690
SE_232,53690
SE_311,44368
SE_312,44368
SE_313,44368
SE_321,47200
SE_331,52392
SE_332,52392
SG,65233
SI,26078
SK,19470
SL,504
SM,48481
SN,1446
SR,6854
SS,1119
ST,1994
SV,4187
SZ,3837
TC,27142
TD,709
TG,675
TH,7808
TJ,870
TL,1294
TM,6966
TN,3317
TO,4364
TR,9042
TT,17276
TV,4059
TZ,1122
UA,3659
UG,776
US,65118
UY,16190
UZ,1724
VC,7463
VI,35938
VN,2715
VU,3058
WS,4315
YE,968
ZA,6001
ZM,1291
ZW,1463
